customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4050-ZJXMS-33,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.63,728.88,No
5116-GTZGU-34,Female,0,Yes,No,44,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.84,2670.94,Yes
3349-SULTH-35,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),81.93,324.88,No
1713-CLXDL-36,Female,0,No,No,14,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,71.06,977.15,No
7335-FSHVP-37,Male,1,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.8,861.2,Yes
5921-EMWAT-38,Female,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.0,1047.5,No
5434-SRLIQ-39,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.76,809.34,No
2261-PCQQC-40,Male,0,Yes,No,31,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),59.94,1836.57,No
7816-KUBEM-41,Male,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),79.24,2264.69,No
2693-IRDRC-42,Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.58,271.74,No
2576-PUEHY-43,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.28,784.83,No
9906-PLJPP-44,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.94,535.94,No
3652-ADYKM-45,Female,1,No,Yes,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),81.02,1794.01,No
5203-UBCHM-46,Male,1,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.72,186.71,No
7039-MLYEO-47,Female,0,No,Yes,47,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),54.97,2551.35,No
5879-MUGYI-48,Male,0,Yes,Yes,21,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),70.81,1489.6,No
5904-NWLHA-49,Male,0,No,No,63,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,76.79,4840.29,No
4272-VAXOD-50,Female,0,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.75,656.52,No
3719-OICRR-51,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,54.4,2844.22,No
2069-HGRSS-52,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.79,670.74,No
9447-TICPX-53,Male,1,No,No,34,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.49,2101.4,No
9775-FGADO-54,Male,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,79.06,5088.9,No
5920-JIVLV-55,Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),81.95,824.23,No
9667-IFYQH-56,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.15,4712.32,No
6596-NXGZY-57,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),99.4,1969.71,Yes
2626-ENBHL-58,Male,0,Yes,No,5,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,82.15,400.04,No
9723-ZDXCT-59,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.71,602.59,No
8609-XFXDN-60,Male,1,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.76,1145.37,No
5225-IAUIR-61,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,90.01,1040.78,Yes
4691-JXCTT-62,Male,1,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.09,255.58,No
4419-GAYYG-63,Male,0,Yes,No,25,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),66.33,1642.93,No
1287-DBVXD-64,Male,0,No,No,15,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,64.08,979.7,Yes
7719-EJPSW-65,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),88.41,353.46,Yes
1403-FHIZU-66,Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,78.29,1911.88,Yes
3883-ZMNLD-67,Male,0,Yes,Yes,37,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,51.78,1910.86,No
9408-AEFHD-68,Female,0,Yes,No,22,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.3,1645.94,Yes
1161-RZDHN-69,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,86.93,2103.64,Yes
9346-STPKF-70,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.4,2326.09,Yes
8777-UASCT-71,Male,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),86.75,6253.49,No
8432-DLDOY-72,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.17,639.7,No
1727-KZHDM-73,Male,0,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),29.37,965.81,No
5574-RIYNH-74,Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.39,2030.33,Yes
9641-YMAPO-75,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,56.92,550.12,No
2333-QVCSD-76,Male,1,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.91,839.13,No
7738-KAZEP-77,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,75.76,4609.02,No
2633-YTULM-78,Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.09,1084.8,No
6708-UWARC-79,Female,1,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,82.95,162.43,No
3591-VGUMG-80,Male,0,Yes,Yes,19,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,57.9,1083.96,No
4007-NTPYW-81,Female,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,96.87,3583.17,Yes
7779-PHKDJ-82,Female,0,Yes,Yes,50,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55.59,2789.6,No
9337-LCQZW-83,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.46,143.42,No
3466-LNGGG-84,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,95.28,928.1,No
9950-TVVYC-85,Female,0,No,Yes,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,78.4,2503.65,No
8933-BMPJD-86,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,49.67,1343.26,Yes
2730-VIIYD-87,Male,0,No,No,25,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),56.47,1403.45,No
9236-XPEEH-88,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,55.94,3906.96,No
6196-DLDOA-89,Female,0,No,No,72,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),76.77,5505.83,No
7380-BFEVB-90,Female,0,No,Yes,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,63.79,775.17,No
4862-PNRUK-91,Male,0,Yes,No,4,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.35,367.43,Yes
8453-IZNTW-92,Female,0,No,No,24,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,56.91,1353.87,No
8133-WNBME-93,Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.07,3837.13,No
9001-GFGQO-94,Male,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),72.73,3810.74,No
9538-KHBAJ-95,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,66.57,1230.44,Yes
9331-NXCCV-96,Male,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.42,344.48,No
1960-BKYRC-97,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),78.19,2674.11,Yes
8533-VUXGZ-98,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.54,1515.31,Yes
3885-UPUQQ-99,Male,0,Yes,Yes,26,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),71.28,1856.8,No
6545-UTDVN-100,Female,0,No,No,37,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,57.17,2099.0,No
3907-NZWVM-101,Female,0,No,No,22,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.52,1602.63,No
8056-KRQGG-102,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,56.82,417.55,No
1550-DLMEK-103,Female,0,Yes,Yes,14,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),49.58,676.09,Yes
6436-GIJNJ-104,Male,0,No,No,15,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),66.23,994.29,Yes
7631-ILJER-105,Male,1,No,No,15,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,70.55,1060.02,Yes
3118-HUYRX-106,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),70.57,289.81,No
8686-MUILN-107,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.09,2143.7,No
9643-WMQFU-108,Female,0,No,No,10,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,71.54,711.64,No
5976-NTQBH-109,Male,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),87.12,3641.37,No
2590-TAFPS-110,Male,1,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.5,330.0,No
5529-WXDYP-111,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.45,441.61,No
6725-CQSPC-112,Male,1,No,No,25,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.99,2096.56,No
5708-YSDYY-113,Male,0,No,No,16,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),76.93,1207.51,Yes
2524-UKPLU-114,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.65,2267.12,No
9968-UYYCG-115,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.08,2165.77,No
7495-PBCNQ-116,Female,1,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,99.34,415.06,No
2509-EDOAO-117,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),72.99,3736.37,Yes
5282-MRNST-118,Male,0,No,No,29,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.84,1817.97,Yes
9280-UNMGP-119,Male,1,No,No,19,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.9,1210.14,Yes
2252-YVDUD-120,Female,0,No,No,45,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),52.34,2350.78,No
7490-CMRSK-121,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),75.38,4086.13,No
9293-UFRSI-122,Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),92.56,2089.23,No
7643-XVTQH-123,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,88.17,5275.17,No
8156-JNIIE-124,Female,0,No,No,3,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,59.81,135.53,No
9650-DCYOL-125,Female,0,Yes,No,41,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,83.86,3419.9,Yes
7636-JDSEO-126,Male,1,No,Yes,26,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,74.43,1904.77,Yes
9540-YJUPM-127,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),86.37,2593.92,No
2259-JQZAS-128,Female,0,No,No,50,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,72.54,3597.62,No
8616-YLDHW-129,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.12,3349.62,No
8900-QDDMP-130,Male,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,91.07,6555.84,No
1291-ROACL-131,Male,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),77.21,5566.62,No
7502-VLHZL-132,Female,0,Yes,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,396.43,No
3838-LAHNX-133,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),86.4,690.21,No
7643-UOCKZ-134,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.3,527.36,No
1397-WRHUV-135,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,75.86,960.32,No
1388-CRZAR-136,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.42,576.85,No
2228-QQCRX-137,Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.14,2630.9,No
8770-AGGLD-138,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.45,343.97,Yes
8688-UVFAX-139,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.01,3703.95,No
3599-RXAAA-140,Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),72.49,1725.0,No
2406-BVPZU-141,Female,1,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.04,348.67,No
9667-GHWGB-142,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.72,97.14,No
7021-UZYDU-143,Male,1,No,No,49,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,58.61,2836.12,No
8614-SVVLB-144,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),77.07,4173.33,Yes
5105-FCDSN-145,Male,0,Yes,Yes,50,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,93.23,4646.52,No
5858-TOQCW-146,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,77.43,957.97,No
5038-EVTBF-147,Female,0,Yes,No,34,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.41,1705.58,No
1141-HCSNZ-148,Female,0,No,No,56,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.68,4730.72,No
7744-PNBBQ-149,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.34,1008.06,No
1039-BFWLS-150,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,93.27,2765.87,Yes
4703-EJCUE-151,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.32,2043.24,No
4387-ZPLOU-152,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.97,1797.1,No
3290-QWOLD-153,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.5,621.88,No
3234-YOHKP-154,Male,1,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,68.43,1009.4,Yes
5837-SGQLY-155,Male,0,No,No,13,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),64.64,821.32,Yes
2421-DMNRK-156,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.09,75.64,Yes
9222-MDDZD-157,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,77.62,5054.54,Yes
9529-HCHPL-158,Male,0,No,No,31,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,89.15,2742.99,No
8069-PKQZK-159,Female,1,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.59,613.38,No
2380-KVFYP-160,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.68,2362.65,No
6413-IXAHK-161,Male,1,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,39.37,2694.28,No
5295-MDFCO-162,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),67.89,425.67,No
4157-OPSOQ-163,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,72.65,4672.31,No
6283-QQIGU-164,Male,0,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,86.52,2160.39,No
4083-OFLNQ-165,Male,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.14,3298.67,No
